event_id,device_id,device_hw_form,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version,device_type,product_name
1.22E+19,DDF5F5DE06B1713D2DE279AF0675265BC65B209A0621277D27DC0FA74D278D9E&222CC722EC833A36A81D8F106ACD2E53FD69D342B4010B0F021AC1C74CC8F0EB&B613FDC5A7D535C4A6512FE749C6F95EE319EFA2BCADC87C1663B5CF665A61FD,Slate,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB 1073741824,"1920x1080 120,120 32, 1920x1080 120,120 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY1",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACDLT2018
1.74E+19,DB2AA5CF423A52521550C0521F9F251A23844EA0D28B5108B279ACE5C3B3301C&B3D32C029EF1B79BEC6FB50824DA2BFA222F95C2F7200EA99321689FAF6C2570&39F994E1FD7DF9414D76E49BF0B38973EE71B2BBA00ACFBCD44198F167FD261A,Desktop,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB 1073741825,"1920x1080 120,120 32, 1920x1080 120,120 33","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY2",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.77E+19,1F7E8951AE13F9BF1DC25D2EAB2634EBCC69EEA9A0202DE0FF3D2B100B51D669&31EF8CCF0EB42E56985596F26504C7DDC5F198C02259FF9B48986F45A9532063&D7D30E7BF9DE769BB73B1C8F8C3446943F8A40BB2777772A09948A692208677F,Laptop,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB 1073741826,"1920x1080 120,120 32, 1920x1080 120,120 34","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY3",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
2.80E+18,E640AE128D0F74E9AEF610E70A7CB37C0B0097FC96D9DAF0BFA04610033E4D6C&D12F6BC95B0824E7D46EC0680BBC61D67EC5B1331D10FCB1351ADE8114C357CC&04ADB3E331B4E12EE6C9B13B23DF8B633679A8483B426FDAC5548ADAEB67D072,,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB 1073741827,"1920x1080 120,120 32, 1920x1080 120,120 35","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY4",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
1.84E+19,06B582AE9B3C94658E9FF1F6DEBF918DEBE4F89659C14B195FFED4294543C409&55BC2EF1B41FC3A31389E442B5310753A655813FE4C7D30E03E7E75872DAE842&6E47583CF8F1FD7A736A4F0FBF6B13FC30B5B42C3D1D1FF9ACC233E42E612AD5,Slate,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB 1073741828,"1920x1080 120,120 32, 1920x1080 120,120 36","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY5",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.29E+19,63B8A8ACBF0B1AF09551D86094A7A094CBF192414EE9A6B71098B5AAB5C691C8&B02D057EE10EFDE2C4575E749E590A7A5C3EE8BC5F82D3B1C299DFC9FDAFD7B9&F8210DBA5A2EE382BB2484092C86F27402BAD17CE427A206FCCF8BAE390C7748,,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB 1073741829,"1920x1080 120,120 32, 1920x1080 120,120 37","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY6",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
9.75E+17,7A9CA9CCD24FFD460C316EDCE886140CD263FD0D3BDFDF5AFC362FC7A1552724&031DD055F5061678CAFD22D9E99DE94B8B8DC330F2DCE6A7C15B976EAB531C2D&DF200ECA2B089F036A89B1FCC39734FB6438BD7EB57CBC684F4A78C73EF498DD,,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB 1073741830,"1920x1080 120,120 32, 1920x1080 120,120 38","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY7",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
1.54E+19,7220A1DADB31722459D95C7B25D55CCE13E35FF13797E4554029F6A9E032D870&7BD8A2E5933003791DD97702FAB9C491069E2A2AF0F448AEB5AFB0D55F00AA75&07C3A726F6036A4963623D407096484775367B53AA25F68FA2F0C8DF459DB8F3,,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,8GB,"1920x1080 120,120 32, 1920x1080 120,120 39","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY8",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
1.38E+19,4142FBE12AE6491CF31BE35A3D168ED75FC68999D8DCBD95DE05A3FCBD46B5B1&904152E69237393C0B3D4369E2B79654D1823E999B477E9A02AF9C3A1AC0E9BD&FD5CED3550099B48F796A642BDFF88A432239CEFED130C1EB36BFB815B8CB2E6,Slate,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,32GB 2147483648,"1920x1080 120,120 32, 1920x1080 120,120 40","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY9",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACDLT2018
1.69E+19,A59E9C750F7003462DB62D2DD60AE2C0C9877B100F37E556E289A69FD34E22D5&B6144A8B52B7CDD7C4D5CBAB73ACF3BD55521ABE76840628F2E3999174A0393C&C19F12D2465B2F1F58E1A0F0814B2A3082CC45888BF714A369A43E3C74FD4DE7,Slate,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,32GB 2147483649,"1920x1080 120,120 32, 1920x1080 120,120 41","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY10",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACDLT2018
