,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
748875,Intel(R) Core(TM)2 Duo CPU     T6500  @ 2.10GHz,4GB,1366x768,Mobile Intel(R) 4 Series Express Chipset Family,Microsoft Windows 8.1 Pro,6.3.9600  Build 9600
254079,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3337U CPU @ 1.80GHz,8GB 2214592512,"1600x900 Touch 96,96 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_90B7104D&REV_09\3&11583659&0&10",Microsoft Windows 10 企业版,10.0.16299  Build 16299
593589,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,4GB,1440x900,NVIDIA GeForce GT 720,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
509878,Intel(R) Core(TM) i7-4712HQ CPU @ 2.30GHz,16GB,1920x1080,Intel(R) HD Graphics 4600,Microsoft Windows 8.1,6.3.9600  Build 9600
359308,Intel(R) Xeon(R) CPU E5-1620 v4 @ 3.50GHz,32GB,1280x1024,NVIDIA Quadro K620,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
333647,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8GB 1073741824,"1600x900 96,96 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10",Microsoft Windows 8.1 Enterprise,6.3.9600  Build 9600
219658,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,16GB,1920x1080,NVIDIA GeForce GTX 1060 6GB,Microsoft Windows 7 Home Premium K ,6.1.7601 Service Pack 1 Build 7601
547047,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,8GB,1366x768,AMD Radeon HD 5450,Microsoft Windows 10 Pro,10.0.14393  Build 14393
114295,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,8GB 1073741824,"1920x1080 96,96 32, 1920x1080 96,96 32","Intel(R) HD Graphics P530, PCI\VEN_8086&DEV_191D&SUBSYS_802F103C&REV_06\3&11583659&0&10, \\.\DISPLAY1",Microsoft Windows 10 Enterprise,10.0.15063  Build 15063
585813,Intel(R) Core(TM) i7-4810MQ CPU @ 2.80GHz,16GB,,,Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
630202,Intel64 Family 6 Model 62 Stepping 4 Intel(R) Xeon(R) CPU E5-1650 v2 @ 3.50GHz,2GB 1073741824,"1024x768 96,96 32","VMware SVGA 3D, PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&2B8E0B4B&0&78",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
583119,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_1912&SUBSYS_B09A144D&REV_06\3&11583659&0&10",Microsoft Windows 7 Professional K ,6.1.7601 Service Pack 1 Build 7601
286888,x64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,3GB 1073741824,"1600x900 96,96 32","NVIDIA GeForce GTX 650, PCI\VEN_10DE&DEV_0FC6&SUBSYS_84281043&REV_A1\4&10698843&0&0008",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
72861,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,8GB,1366x768,AMD Radeon (TM) R7 M340,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
756468,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,19GB,1920x1080,Intel(R) HD Graphics 530,Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
161878,Intel(R) Core(TM) i7-2720QM CPU @ 2.20GHz,8GB,1920x1080,NVIDIA Quadro 1000M,Microsoft Windows 10 Pro,10.0.15063  Build 15063
697153,Intel(R) Core(TM) i7 CPU         870  @ 2.93GHz,10GB,1280x1024,ATI Radeon HD 5450,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
577693,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4210M CPU @ 2.60GHz,16GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 4600, PCI\VEN_8086&DEV_0416&SUBSYS_504017AA&REV_06\3&B1BFB68&0&10",Microsoft Windows 10 家用版,10.0.16299  Build 16299
337865,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB,1920x1080,Intel(R) HD Graphics 530,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
564031,Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz,16GB,1920x1080,NVIDIA GeForce GTX 680,Microsoft Windows 10 Pro,10.0.14393  Build 14393
719768,Intel(R) Core(TM) i5-2320 CPU @ 3.00GHz,8GB,1440x900,AMD Radeon HD 6570,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
466901,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB,1920x1080,Intel(R) HD Graphics 530,Microsoft Windows 7 Professionnel ,6.1.7601 Service Pack 1 Build 7601
525343,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB,1680x1050,Intel(R) HD Graphics 530,Microsoft Windows 10 家庭版,10.0.16299  Build 16299
335557,Intel64 Family 6 Model 69 Stepping 1 Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz,8GB 2147483648,"1366x768 96,96 32","AMD Radeon R7 M260, PCI\VEN_1002&DEV_6900&SUBSYS_F9221179&REV_00\4&287EF310&0&00E4",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
181884,Pentium(R) Dual-Core  CPU      E5500  @ 2.80GHz,2GB,1600x900,Intel(R) G45/G43 Express Chipset,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
141270,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,32GB,1366x768,NVIDIA GeForce GT 720,Microsoft Windows 10 Pro,10.0.10586  Build 10586
204038,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,8GB,1920x1080,NVIDIA GeForce GTX 750 Ti,Microsoft Windows 10 家庭中文版,10.0.15063  Build 15063
291056,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,8GB,1366x768,Intel(R) HD Graphics 5500,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
208366,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,8GB,,,Microsoft Windows 7 Ultimate K ,6.1.7601 Service Pack 1 Build 7601
155658,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz,8GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 4600, PCI\VEN_8086&DEV_0416&SUBSYS_1A8D1043&REV_06\3&11583659&0&10",Microsoft Windows 10 企业版,10.0.15063  Build 15063
312600,Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz,4GB,1366x768,Intel(R) HD Graphics 5500,Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
724173,x64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,3GB 8555610216245231616,"1440x900 96,96 32","AMD Radeon R7 350 Series, PCI\VEN_1002&DEV_683F&SUBSYS_A014174B&REV_00\4&295CAE01&0&0008",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
486604,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,4GB,1920x1080,Intel(R) HD Graphics 620,Microsoft Windows 10 Home,10.0.10586  Build 10586
654488,Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz,8GB,,,Microsoft Windows 8 Pro with Media Center,6.2.9200  Build 9200
587866,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,32GB,1920x1080,NVIDIA Quadro 5000,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
217798,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,16GB,,,Microsoft Windows 10 Pro,10.0.10240  Build 10240
321122,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,32GB 2147483648,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GTX 960, PCI\VEN_10DE&DEV_1401&SUBSYS_00000000&REV_A1\4&2D78AB8F&0&0008, \\.\DISPLAY8",Microsoft Windows 10 Education,10.0.16299  Build 16299
448797,Intel(R) Xeon(R) CPU E5-2658 v4 @ 2.30GHz,32GB,1680x1050,NVIDIA Quadro M5000,Microsoft Windows 8.1 Entreprise,6.3.9600  Build 9600
363243,Intel(R) Core(TM) i7-3720QM CPU @ 2.60GHz,16GB,1920x1080,NVIDIA Quadro K1000M,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
294454,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,4GB 1873698816,"1920x1080 96,96 32","Intel(R) HD Graphics 4600, PCI\VEN_8086&DEV_0412&SUBSYS_2B34103C&REV_06\3&11583659&0&10",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
114761,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,16GB,2560x1080,Intel(R) HD Graphics 530,Microsoft Windows 10 Education,10.0.15063  Build 15063
628947,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,8GB 1073741824,"1920x1080 Touch 144,144 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_06FD1028&REV_07\3&11583659&0&10",Microsoft Windows 10 Home,10.0.15063  Build 15063
